ID,Store,Crust,Topping,Diameter
28,Dominos,Mid,BBQMeatlovers,26.15
31,Dominos,Mid,BBQMeatlovers,26.56
38,Dominos,Mid,BBQMeatlovers,27.2
39,Dominos,Mid,BBQMeatlovers,26.61
60,Dominos,Mid,BBQMeatlovers,26.97
77,Dominos,Mid,BBQMeatlovers,26.93
78,Dominos,Mid,BBQMeatlovers,26.41
89,Dominos,Mid,BBQMeatlovers,27.27
130,Dominos,Mid,BBQMeatlovers,25.51
139,Dominos,Mid,BBQMeatlovers,26.78
140,Dominos,Mid,BBQMeatlovers,26.28
143,Dominos,Mid,BBQMeatlovers,26.47
144,Dominos,Mid,BBQMeatlovers,26.71
231,Dominos,Mid,BBQMeatlovers,26.6
242,Dominos,Mid,BBQMeatlovers,26.81
6,Dominos,DeepPan,BBQMeatlovers,27.16
10,EagleBoys,DeepPan,BBQMeatlovers,29.38
23,Dominos,DeepPan,BBQMeatlovers,26.6
41,EagleBoys,DeepPan,BBQMeatlovers,28.48
50,EagleBoys,DeepPan,BBQMeatlovers,29.38
56,Dominos,DeepPan,BBQMeatlovers,25.98
65,Dominos,DeepPan,BBQMeatlovers,26.37
84,EagleBoys,DeepPan,BBQMeatlovers,28.68
88,Dominos,DeepPan,BBQMeatlovers,26.58
103,EagleBoys,DeepPan,BBQMeatlovers,28.63
113,Dominos,DeepPan,BBQMeatlovers,26.59
118,EagleBoys,DeepPan,BBQMeatlovers,28.94
119,EagleBoys,DeepPan,BBQMeatlovers,29.38
126,EagleBoys,DeepPan,BBQMeatlovers,28.54
148,Dominos,DeepPan,BBQMeatlovers,26.73
153,EagleBoys,DeepPan,BBQMeatlovers,28.68
157,EagleBoys,DeepPan,BBQMeatlovers,29.53
160,EagleBoys,DeepPan,BBQMeatlovers,28.19
173,EagleBoys,DeepPan,BBQMeatlovers,28.61
178,Dominos,DeepPan,BBQMeatlovers,26.27
184,Dominos,DeepPan,BBQMeatlovers,27.22
189,Dominos,DeepPan,BBQMeatlovers,26.77
194,EagleBoys,DeepPan,BBQMeatlovers,29.78
200,Dominos,DeepPan,BBQMeatlovers,26.77
208,Dominos,DeepPan,BBQMeatlovers,26.6
235,EagleBoys,DeepPan,BBQMeatlovers,29.09
237,EagleBoys,DeepPan,BBQMeatlovers,30.02
243,Dominos,DeepPan,BBQMeatlovers,27.1
249,Dominos,DeepPan,BBQMeatlovers,26.36
13,EagleBoys,Mid,BBQMeatlovers,28.97
19,EagleBoys,Mid,BBQMeatlovers,28.66
43,EagleBoys,Mid,BBQMeatlovers,28.73
47,EagleBoys,Mid,BBQMeatlovers,29.03
55,EagleBoys,Mid,BBQMeatlovers,28.99
81,EagleBoys,Mid,BBQMeatlovers,28.65
95,EagleBoys,Mid,BBQMeatlovers,29.47
96,EagleBoys,Mid,BBQMeatlovers,29.38
99,EagleBoys,Mid,BBQMeatlovers,29.19
104,EagleBoys,Mid,BBQMeatlovers,28.76
107,EagleBoys,Mid,BBQMeatlovers,28.86
123,EagleBoys,Mid,BBQMeatlovers,28.85
133,EagleBoys,Mid,BBQMeatlovers,28.34
234,EagleBoys,Mid,BBQMeatlovers,28.63
236,EagleBoys,Mid,BBQMeatlovers,28.67
9,EagleBoys,Thin,BBQMeatlovers,30.05
48,EagleBoys,Thin,BBQMeatlovers,29.75
92,EagleBoys,Thin,BBQMeatlovers,29.43
114,EagleBoys,Thin,BBQMeatlovers,29.48
134,EagleBoys,Thin,BBQMeatlovers,30.67
154,EagleBoys,Thin,BBQMeatlovers,29.34
159,EagleBoys,Thin,BBQMeatlovers,28.75
169,EagleBoys,Thin,BBQMeatlovers,29.68
170,EagleBoys,Thin,BBQMeatlovers,29.51
212,EagleBoys,Thin,BBQMeatlovers,30.16
222,EagleBoys,Thin,BBQMeatlovers,29.71
239,EagleBoys,Thin,BBQMeatlovers,29.86
2,Dominos,Thin,BBQMeatlovers,29.63
36,Dominos,Thin,BBQMeatlovers,29
73,Dominos,Thin,BBQMeatlovers,28.67
74,Dominos,Thin,BBQMeatlovers,29.11
109,Dominos,Thin,BBQMeatlovers,28.71
138,Dominos,Thin,BBQMeatlovers,29.43
188,Dominos,Thin,BBQMeatlovers,28.82
201,Dominos,Thin,BBQMeatlovers,28.64
204,Dominos,Thin,BBQMeatlovers,28.52
206,Dominos,Thin,BBQMeatlovers,29.41
210,Dominos,Thin,BBQMeatlovers,27.04
217,Dominos,Thin,BBQMeatlovers,29.04
226,Dominos,Thin,BBQMeatlovers,28.94
251,Dominos,Thin,BBQMeatlovers,29.14
5,Dominos,Mid,Hawaiian,26.59
24,Dominos,Mid,Hawaiian,26.65
32,Dominos,Mid,Hawaiian,26.65
87,Dominos,Mid,Hawaiian,26.78
111,Dominos,Mid,Hawaiian,26.77
129,Dominos,Mid,Hawaiian,26.7
149,Dominos,Mid,Hawaiian,26.28
177,Dominos,Mid,Hawaiian,26.58
179,Dominos,Mid,Hawaiian,26.65
183,Dominos,Mid,Hawaiian,27.15
187,Dominos,Mid,Hawaiian,26.64
199,Dominos,Mid,Hawaiian,26.53
223,Dominos,Mid,Hawaiian,26.3
247,Dominos,Mid,Hawaiian,25.78
3,Dominos,DeepPan,Hawaiian,27.06
8,EagleBoys,DeepPan,Hawaiian,28.78
37,Dominos,DeepPan,Hawaiian,26.34
45,EagleBoys,DeepPan,Hawaiian,29.59
68,EagleBoys,DeepPan,Hawaiian,28.29
71,Dominos,DeepPan,Hawaiian,26.74
72,EagleBoys,DeepPan,Hawaiian,29.82
75,Dominos,DeepPan,Hawaiian,26.45
98,EagleBoys,DeepPan,Hawaiian,29.68
110,Dominos,DeepPan,Hawaiian,27
120,EagleBoys,DeepPan,Hawaiian,28.86
132,EagleBoys,DeepPan,Hawaiian,29.92
135,EagleBoys,DeepPan,Hawaiian,29.21
150,Dominos,DeepPan,Hawaiian,26.42
156,EagleBoys,DeepPan,Hawaiian,29.16
165,EagleBoys,DeepPan,Hawaiian,28.48
167,EagleBoys,DeepPan,Hawaiian,29.04
172,EagleBoys,DeepPan,Hawaiian,29.19
175,Dominos,DeepPan,Hawaiian,26.48
181,Dominos,DeepPan,Hawaiian,27.04
191,EagleBoys,DeepPan,Hawaiian,29
198,Dominos,DeepPan,Hawaiian,26.55
203,Dominos,DeepPan,Hawaiian,26.7
211,EagleBoys,DeepPan,Hawaiian,29.3
215,EagleBoys,DeepPan,Hawaiian,28.77
218,Dominos,DeepPan,Hawaiian,26.76
220,EagleBoys,DeepPan,Hawaiian,29.34
224,Dominos,DeepPan,Hawaiian,26.6
250,Dominos,DeepPan,Hawaiian,26.11
12,EagleBoys,Mid,Hawaiian,29.24
15,EagleBoys,Mid,Hawaiian,28.93
44,EagleBoys,Mid,Hawaiian,28.6
83,EagleBoys,Mid,Hawaiian,29.32
94,EagleBoys,Mid,Hawaiian,28.8
100,EagleBoys,Mid,Hawaiian,28.79
115,EagleBoys,Mid,Hawaiian,28.15
161,EagleBoys,Mid,Hawaiian,28.98
166,EagleBoys,Mid,Hawaiian,28.2
171,EagleBoys,Mid,Hawaiian,28.93
174,EagleBoys,Mid,Hawaiian,28.29
195,EagleBoys,Mid,Hawaiian,29.81
213,EagleBoys,Mid,Hawaiian,28.79
246,EagleBoys,Mid,Hawaiian,28.9
14,EagleBoys,Thin,Hawaiian,29.98
18,EagleBoys,Thin,Hawaiian,30.01
20,EagleBoys,Thin,Hawaiian,30.44
53,EagleBoys,Thin,Hawaiian,29.9
54,EagleBoys,Thin,Hawaiian,29.4
66,EagleBoys,Thin,Hawaiian,30.35
80,EagleBoys,Thin,Hawaiian,29.42
97,EagleBoys,Thin,Hawaiian,28.54
106,EagleBoys,Thin,Hawaiian,30.31
117,EagleBoys,Thin,Hawaiian,29.91
125,EagleBoys,Thin,Hawaiian,30.17
232,EagleBoys,Thin,Hawaiian,28.71
240,EagleBoys,Thin,Hawaiian,28.73
22,Dominos,Thin,Hawaiian,28.86
29,Dominos,Thin,Hawaiian,28.92
34,Dominos,Thin,Hawaiian,28.75
57,Dominos,Thin,Hawaiian,29.04
58,Dominos,Thin,Hawaiian,29.01
61,Dominos,Thin,Hawaiian,29.37
79,Dominos,Thin,Hawaiian,29.19
85,Dominos,Thin,Hawaiian,29.66
127,Dominos,Thin,Hawaiian,28.95
131,Dominos,Thin,Hawaiian,29.09
141,Dominos,Thin,Hawaiian,29.21
146,Dominos,Thin,Hawaiian,29.14
227,Dominos,Thin,Hawaiian,28.86
229,Dominos,Thin,Hawaiian,25.58
40,EagleBoys,DeepPan,Supreme,28.73
42,EagleBoys,DeepPan,Supreme,29.01
46,EagleBoys,DeepPan,Supreme,29.04
49,EagleBoys,DeepPan,Supreme,28.95
52,EagleBoys,DeepPan,Supreme,28.6
69,EagleBoys,DeepPan,Supreme,28.97
91,EagleBoys,DeepPan,Supreme,28.98
105,EagleBoys,DeepPan,Supreme,28.76
116,EagleBoys,DeepPan,Supreme,28.98
124,EagleBoys,DeepPan,Supreme,29.35
233,EagleBoys,DeepPan,Supreme,30.37
244,EagleBoys,DeepPan,Supreme,29.36
7,EagleBoys,Mid,Supreme,29.15
51,EagleBoys,Mid,Supreme,28.72
67,EagleBoys,Mid,Supreme,29.08
93,EagleBoys,Mid,Supreme,28.54
121,EagleBoys,Mid,Supreme,28.47
128,EagleBoys,Mid,Supreme,26.58
136,EagleBoys,Mid,Supreme,29.08
151,EagleBoys,Mid,Supreme,28.42
155,EagleBoys,Mid,Supreme,29.01
164,EagleBoys,Mid,Supreme,28.8
168,EagleBoys,Mid,Supreme,28.79
216,EagleBoys,Mid,Supreme,28.36
221,EagleBoys,Mid,Supreme,28.96
238,EagleBoys,Mid,Supreme,28.76
11,EagleBoys,Thin,Supreme,29.14
16,EagleBoys,Thin,Supreme,29.47
17,EagleBoys,Thin,Supreme,30
82,EagleBoys,Thin,Supreme,30.51
101,EagleBoys,Thin,Supreme,30.08
102,EagleBoys,Thin,Supreme,29.4
122,EagleBoys,Thin,Supreme,29.4
152,EagleBoys,Thin,Supreme,31.06
158,EagleBoys,Thin,Supreme,29.51
162,EagleBoys,Thin,Supreme,29.57
163,EagleBoys,Thin,Supreme,29.27
196,EagleBoys,Thin,Supreme,29.86
214,EagleBoys,Thin,Supreme,29.45
245,EagleBoys,Thin,Supreme,29.34
26,Dominos,Mid,Supreme,26.55
70,Dominos,Mid,Supreme,26.83
76,Dominos,Mid,Supreme,27.04
108,Dominos,Mid,Supreme,27.04
180,Dominos,Mid,Supreme,27.27
182,Dominos,Mid,Supreme,28.9
197,Dominos,Mid,Supreme,27.12
202,Dominos,Mid,Supreme,27.05
207,Dominos,Mid,Supreme,26.97
209,Dominos,Mid,Supreme,27.52
219,Dominos,Mid,Supreme,26.79
225,Dominos,Mid,Supreme,26.54
252,Dominos,Mid,Supreme,26.71
25,Dominos,DeepPan,Supreme,26.5
27,Dominos,DeepPan,Supreme,26.64
30,Dominos,DeepPan,Supreme,26.87
33,Dominos,DeepPan,Supreme,26.61
59,Dominos,DeepPan,Supreme,26.67
62,Dominos,DeepPan,Supreme,26.09
64,Dominos,DeepPan,Supreme,27.12
90,Dominos,DeepPan,Supreme,27.14
137,Dominos,DeepPan,Supreme,26.26
142,Dominos,DeepPan,Supreme,26.16
145,Dominos,DeepPan,Supreme,26.7
228,Dominos,DeepPan,Supreme,26.7
230,Dominos,DeepPan,Supreme,28.79
1,Dominos,Thin,Supreme,29.4
4,Dominos,Thin,Supreme,27.45
21,Dominos,Thin,Supreme,26.38
35,Dominos,Thin,Supreme,29.33
63,Dominos,Thin,Supreme,29.32
86,Dominos,Thin,Supreme,29.17
112,Dominos,Thin,Supreme,29.19
147,Dominos,Thin,Supreme,28.78
176,Dominos,Thin,Supreme,29.33
185,Dominos,Thin,Supreme,29.14
186,Dominos,Thin,Supreme,29.23
190,Dominos,Thin,Supreme,28.32
205,Dominos,Thin,Supreme,28.44
241,Dominos,Thin,Supreme,28.97
248,Dominos,Thin,Supreme,28.84
